rank,stress_cap,derisk_cap,panic_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio,robust_score
130,0.2,0.24,0.1,1.05,1.7921372736356969,1.0,28.03404054209809,1.0085901658230276,-0.12208396749519335,-0.28153452185653316,-0.2811747489629479,0.09791603250480665,-0.015534521856533146,-0.0101747489629479,-0.015534521856533146,99.70326512425305,78.00971852810656
131,0.2,0.24,0.12,1.05,1.7921372736356969,1.0,28.03404054209809,1.0085901658230276,-0.12208396749519335,-0.28153452185653316,-0.2811747489629479,0.09791603250480665,-0.015534521856533146,-0.0101747489629479,-0.015534521856533146,99.70326512425305,78.00971852810656
132,0.2,0.24,0.14,1.05,1.7921372736356969,1.0,28.03404054209809,1.0085901658230276,-0.12208396749519335,-0.28153452185653316,-0.2811747489629479,0.09791603250480665,-0.015534521856533146,-0.0101747489629479,-0.015534521856533146,99.70326512425305,78.00971852810656
133,0.2,0.28,0.08,0.95,1.7910137286739896,1.0,27.451496634028,1.029593234024023,-0.11454735328581256,-0.2728379017915923,-0.27250294257411234,0.10545264671418744,-0.006837901791592271,-0.0015029425741123204,-0.006837901791592271,100.73834937236337,77.99240045805652
134,0.2,0.28,0.1,0.95,1.7910137286739896,1.0,27.451496634028,1.029593234024023,-0.11454735328581256,-0.2728379017915923,-0.27250294257411234,0.10545264671418744,-0.006837901791592271,-0.0015029425741123204,-0.006837901791592271,100.73834937236337,77.99240045805652
135,0.2,0.28,0.12,0.95,1.7910137286739896,1.0,27.451496634028,1.029593234024023,-0.11454735328581256,-0.2728379017915923,-0.27250294257411234,0.10545264671418744,-0.006837901791592271,-0.0015029425741123204,-0.006837901791592271,100.73834937236337,77.99240045805652
136,0.2,0.28,0.14,0.95,1.7910137286739896,1.0,27.451496634028,1.029593234024023,-0.11454735328581256,-0.2728379017915923,-0.27250294257411234,0.10545264671418744,-0.006837901791592271,-0.0015029425741123204,-0.006837901791592271,100.73834937236337,77.99240045805652
137,0.12,0.24,0.08,1.05,1.7921372736356969,1.0,27.54008030225139,1.0384550555453589,-0.08303912055314744,-0.19645453860621476,-0.27643869998416704,0.13696087944685256,0.06954546139378526,-0.005438699984167017,-0.005438699984167017,99.62454715576634,77.5328513913228
138,0.12,0.24,0.1,1.05,1.7921372736356969,1.0,27.54008030225139,1.0384550555453589,-0.08303912055314744,-0.19645453860621476,-0.27643869998416704,0.13696087944685256,0.06954546139378526,-0.005438699984167017,-0.005438699984167017,99.62454715576634,77.5328513913228
139,0.12,0.24,0.12,1.05,1.7921372736356969,1.0,27.54008030225139,1.0384550555453589,-0.08303912055314744,-0.19645453860621476,-0.27643869998416704,0.13696087944685256,0.06954546139378526,-0.005438699984167017,-0.005438699984167017,99.62454715576634,77.5328513913228
140,0.12,0.24,0.14,1.05,1.7921372736356969,1.0,27.54008030225139,1.0384550555453589,-0.08303912055314744,-0.19645453860621476,-0.27643869998416704,0.13696087944685256,0.06954546139378526,-0.005438699984167017,-0.005438699984167017,99.62454715576634,77.5328513913228
141,0.16,0.24,0.08,1.0,1.7702805203987464,1.0,26.18920741510225,1.0215079651251486,-0.10914617784325664,-0.2535937046373705,-0.26852152111364114,0.11085382215674336,0.012406295362629494,0.0024784788863588814,0.0024784788863588814,97.53113011756962,75.1714664613439
142,0.16,0.24,0.1,1.0,1.7702805203987464,1.0,26.18920741510225,1.0215079651251486,-0.10914617784325664,-0.2535937046373705,-0.26852152111364114,0.11085382215674336,0.012406295362629494,0.0024784788863588814,0.0024784788863588814,97.53113011756962,75.1714664613439
143,0.16,0.24,0.12,1.0,1.7702805203987464,1.0,26.18920741510225,1.0215079651251486,-0.10914617784325664,-0.2535937046373705,-0.26852152111364114,0.11085382215674336,0.012406295362629494,0.0024784788863588814,0.0024784788863588814,97.53113011756962,75.1714664613439
144,0.16,0.24,0.14,1.0,1.7702805203987464,1.0,26.18920741510225,1.0215079651251486,-0.10914617784325664,-0.2535937046373705,-0.26852152111364114,0.11085382215674336,0.012406295362629494,0.0024784788863588814,0.0024784788863588814,97.53113011756962,75.1714664613439
145,0.14,0.24,0.08,1.0,1.7702805203987464,1.0,26.027548261258953,1.031899655118593,-0.09616404869026474,-0.22549466474687874,-0.26852152111364114,0.12383595130973526,0.04050533525312128,0.0024784788863588814,0.0024784788863588814,96.92909586283709,74.71086851813301
146,0.14,0.24,0.1,1.0,1.7702805203987464,1.0,26.027548261258953,1.031899655118593,-0.09616404869026474,-0.22549466474687874,-0.26852152111364114,0.12383595130973526,0.04050533525312128,0.0024784788863588814,0.0024784788863588814,96.92909586283709,74.71086851813301
147,0.14,0.24,0.12,1.0,1.7702805203987464,1.0,26.027548261258953,1.031899655118593,-0.09616404869026474,-0.22549466474687874,-0.26852152111364114,0.12383595130973526,0.04050533525312128,0.0024784788863588814,0.0024784788863588814,96.92909586283709,74.71086851813301
148,0.14,0.24,0.14,1.0,1.7702805203987464,1.0,26.027548261258953,1.031899655118593,-0.09616404869026474,-0.22549466474687874,-0.26852152111364114,0.12383595130973526,0.04050533525312128,0.0024784788863588814,0.0024784788863588814,96.92909586283709,74.71086851813301
149,0.12,0.24,0.08,1.0,1.7702805203987464,1.0,25.858630522894014,1.0409050006649636,-0.08301610231039913,-0.19645453860621476,-0.26852152111364114,0.13698389768960087,0.06954546139378526,0.0024784788863588814,0.0024784788863588814,96.30002994043211,74.22921888767486
150,0.12,0.24,0.1,1.0,1.7702805203987464,1.0,25.858630522894014,1.0409050006649636,-0.08301610231039913,-0.19645453860621476,-0.26852152111364114,0.13698389768960087,0.06954546139378526,0.0024784788863588814,0.0024784788863588814,96.30002994043211,74.22921888767486
151,0.12,0.24,0.12,1.0,1.7702805203987464,1.0,25.858630522894014,1.0409050006649636,-0.08301610231039913,-0.19645453860621476,-0.26852152111364114,0.13698389768960087,0.06954546139378526,0.0024784788863588814,0.0024784788863588814,96.30002994043211,74.22921888767486
152,0.12,0.24,0.14,1.0,1.7702805203987464,1.0,25.858630522894014,1.0409050006649636,-0.08301610231039913,-0.19645453860621476,-0.26852152111364114,0.13698389768960087,0.06954546139378526,0.0024784788863588814,0.0024784788863588814,96.30002994043211,74.22921888767486
153,0.18,0.24,0.08,1.0,1.7702805203987464,1.0,26.296267463318863,1.0130644816195253,-0.11832210720960279,-0.27654824654814536,-0.27618600993677933,0.10167789279039721,-0.010548246548145346,-0.005186009936779312,-0.010548246548145346,95.21216324222301,74.05222074801354
154,0.18,0.24,0.1,1.0,1.7702805203987464,1.0,26.296267463318863,1.0130644816195253,-0.11832210720960279,-0.27654824654814536,-0.27618600993677933,0.10167789279039721,-0.010548246548145346,-0.005186009936779312,-0.010548246548145346,95.21216324222301,74.05222074801354
155,0.18,0.24,0.12,1.0,1.7702805203987464,1.0,26.296267463318863,1.0130644816195253,-0.11832210720960279,-0.27654824654814536,-0.27618600993677933,0.10167789279039721,-0.010548246548145346,-0.005186009936779312,-0.010548246548145346,95.21216324222301,74.05222074801354
156,0.18,0.24,0.14,1.0,1.7702805203987464,1.0,26.296267463318863,1.0130644816195253,-0.11832210720960279,-0.27654824654814536,-0.27618600993677933,0.10167789279039721,-0.010548246548145346,-0.005186009936779312,-0.010548246548145346,95.21216324222301,74.05222074801354
157,0.2,0.24,0.08,1.0,1.7702805203987464,1.0,26.27430451414069,1.0127669233091552,-0.11832210720960279,-0.27718787116745724,-0.2768259216806427,0.10167789279039721,-0.01118787116745723,-0.005825921680642665,-0.01118787116745723,94.91273199643409,73.87728454118228
158,0.2,0.24,0.1,1.0,1.7702805203987464,1.0,26.27430451414069,1.0127669233091552,-0.11832210720960279,-0.27718787116745724,-0.2768259216806427,0.10167789279039721,-0.01118787116745723,-0.005825921680642665,-0.01118787116745723,94.91273199643409,73.87728454118228
159,0.2,0.24,0.12,1.0,1.7702805203987464,1.0,26.27430451414069,1.0127669233091552,-0.11832210720960279,-0.27718787116745724,-0.2768259216806427,0.10167789279039721,-0.01118787116745723,-0.005825921680642665,-0.01118787116745723,94.91273199643409,73.87728454118228
160,0.2,0.24,0.14,1.0,1.7702805203987464,1.0,26.27430451414069,1.0127669233091552,-0.11832210720960279,-0.27718787116745724,-0.2768259216806427,0.10167789279039721,-0.01118787116745723,-0.005825921680642665,-0.01118787116745723,94.91273199643409,73.87728454118228
161,0.16,0.24,0.08,0.95,1.7485905130707482,1.0,24.577922235337535,1.0223136930174874,-0.10912378878174289,-0.2535937046373705,-0.26054622201572375,0.11087621121825711,0.012406295362629494,0.010453777984276269,0.010453777984276269,94.33229177222258,72.0007997499737
162,0.16,0.24,0.1,0.95,1.7485905130707482,1.0,24.577922235337535,1.0223136930174874,-0.10912378878174289,-0.2535937046373705,-0.26054622201572375,0.11087621121825711,0.012406295362629494,0.010453777984276269,0.010453777984276269,94.33229177222258,72.0007997499737
163,0.16,0.24,0.12,0.95,1.7485905130707482,1.0,24.577922235337535,1.0223136930174874,-0.10912378878174289,-0.2535937046373705,-0.26054622201572375,0.11087621121825711,0.012406295362629494,0.010453777984276269,0.010453777984276269,94.33229177222258,72.0007997499737
164,0.16,0.24,0.14,0.95,1.7485905130707482,1.0,24.577922235337535,1.0223136930174874,-0.10912378878174289,-0.2535937046373705,-0.26054622201572375,0.11087621121825711,0.012406295362629494,0.010453777984276269,0.010453777984276269,94.33229177222258,72.0007997499737
165,0.14,0.24,0.08,0.95,1.7485905130707482,1.0,24.426211569506656,1.0332313998039462,-0.09614134693258991,-0.22549466474687874,-0.26054622201572375,0.12385865306741009,0.04050533525312128,0.010453777984276269,0.010453777984276269,93.75001249502883,71.56013298690324
166,0.14,0.24,0.1,0.95,1.7485905130707482,1.0,24.426211569506656,1.0332313998039462,-0.09614134693258991,-0.22549466474687874,-0.26054622201572375,0.12385865306741009,0.04050533525312128,0.010453777984276269,0.010453777984276269,93.75001249502883,71.56013298690324
