rank,stress_cap,derisk_cap,panic_cap,overall_scale,risk_on_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
393,0.16,0.38,0.06,0.99,1.0,1.0,0.8,1.6544091423964657,1.0,26.44186040628498,1.037751184617004,-0.10963292948330106,-0.2521462763750535,-0.2669655293556059,0.11036707051669895,0.013853723624946523,0.004034470644394106,0.004034470644394106,99.04597222761163
394,0.16,0.38,0.06,0.99,1.0,1.0,0.83,1.6544091423964657,1.0,26.44186040628498,1.037751184617004,-0.10963292948330106,-0.2521462763750535,-0.2669655293556059,0.11036707051669895,0.013853723624946523,0.004034470644394106,0.004034470644394106,99.04597222761163
395,0.16,0.38,0.06,0.99,1.0,1.0,0.85,1.6544091423964657,1.0,26.44186040628498,1.037751184617004,-0.10963292948330106,-0.2521462763750535,-0.2669655293556059,0.11036707051669895,0.013853723624946523,0.004034470644394106,0.004034470644394106,99.04597222761163
396,0.16,0.38,0.06,0.99,1.0,1.0,0.87,1.6544091423964657,1.0,26.44186040628498,1.037751184617004,-0.10963292948330106,-0.2521462763750535,-0.2669655293556059,0.11036707051669895,0.013853723624946523,0.004034470644394106,0.004034470644394106,99.04597222761163
397,0.16,0.38,0.07,0.99,1.0,1.0,0.8,1.6544091423964657,1.0,26.44186040628498,1.037751184617004,-0.10963292948330106,-0.2521462763750535,-0.2669655293556059,0.11036707051669895,0.013853723624946523,0.004034470644394106,0.004034470644394106,99.04597222761163
398,0.16,0.38,0.07,0.99,1.0,1.0,0.83,1.6544091423964657,1.0,26.44186040628498,1.037751184617004,-0.10963292948330106,-0.2521462763750535,-0.2669655293556059,0.11036707051669895,0.013853723624946523,0.004034470644394106,0.004034470644394106,99.04597222761163
399,0.16,0.38,0.07,0.99,1.0,1.0,0.85,1.6544091423964657,1.0,26.44186040628498,1.037751184617004,-0.10963292948330106,-0.2521462763750535,-0.2669655293556059,0.11036707051669895,0.013853723624946523,0.004034470644394106,0.004034470644394106,99.04597222761163
400,0.16,0.38,0.07,0.99,1.0,1.0,0.87,1.6544091423964657,1.0,26.44186040628498,1.037751184617004,-0.10963292948330106,-0.2521462763750535,-0.2669655293556059,0.11036707051669895,0.013853723624946523,0.004034470644394106,0.004034470644394106,99.04597222761163
401,0.15,0.38,0.06,0.98,0.98,1.01,0.8,1.6531681400224179,1.0,26.43782090996723,1.0466483806179376,-0.10321500571987685,-0.23798334449041625,-0.26430502554461777,0.11678499428012315,0.028016655509583765,0.006694974455382252,0.006694974455382252,100.02768905165678
402,0.15,0.38,0.06,0.98,0.98,1.01,0.83,1.6531681400224179,1.0,26.43782090996723,1.0466483806179376,-0.10321500571987685,-0.23798334449041625,-0.26430502554461777,0.11678499428012315,0.028016655509583765,0.006694974455382252,0.006694974455382252,100.02768905165678
403,0.15,0.38,0.06,0.98,0.98,1.01,0.85,1.6531681400224179,1.0,26.43782090996723,1.0466483806179376,-0.10321500571987685,-0.23798334449041625,-0.26430502554461777,0.11678499428012315,0.028016655509583765,0.006694974455382252,0.006694974455382252,100.02768905165678
404,0.15,0.38,0.06,0.98,0.98,1.01,0.87,1.6531681400224179,1.0,26.43782090996723,1.0466483806179376,-0.10321500571987685,-0.23798334449041625,-0.26430502554461777,0.11678499428012315,0.028016655509583765,0.006694974455382252,0.006694974455382252,100.02768905165678
